a,0101
i,0100
o,0011
e,0010
z,0000
n,11111
r,11101
w,11100
s,11011
t,11010
c,10111
y,10110
k,10100
d,10011
p,10001
m,10000
u,01111
j,01101
l,01100
ł,00011
b,111101
g,111100
ę,110011
h,101011
ą,100101
ó,100100
ż,011100
ś,000101
ć,000100
f,1100100
ń,0111011
q,0111010
ź,11001010
v,110010111
x,110010110
 ,11000
/,101010
